Pitch motor $u_\theta$ [V],Yaw motor $u_\psi$ [V],Pitch angle $\theta$ [rad],Yaw angle $\psi$ [rad],Sample time $\Delta t$ [s]
1.2098,0.74441,-0.67346,0.80841,
1.2098,0.74441,-0.67386,0.80598,
1.2098,0.74441,-0.67265,0.81408,
1.2098,0.74441,-0.67629,0.81893,
1.2098,0.74441,-0.67508,0.82703,
1.2098,0.74441,-0.67265,0.81246,
1.2098,0.74441,-0.67467,0.82055,
1.2098,0.74441,-0.67386,0.8076,
1.2098,0.74441,-0.67386,0.80679,
1.2098,0.74441,-0.67629,0.82055,
1.2098,0.74441,-0.67386,0.81003,
1.2098,0.74441,-0.67265,0.81408,
1.2098,0.74441,-0.67508,0.82865,
1.2098,0.74441,-0.67467,0.81327,
1.2098,0.74441,-0.6767,0.81893,
1.2098,0.74441,-0.67467,0.81813,
1.2098,0.74441,-0.67427,0.81246,
1.2098,0.74441,-0.67589,0.82379,
1.2098,0.74441,-0.67548,0.82622,
1.2098,0.74441,-0.67305,0.81003,
1.2098,0.74441,-0.67548,0.82622,
1.2098,0.74441,-0.67386,0.80598,
1.2098,0.74441,-0.6771,0.81408,
1.2098,0.74441,-0.68034,0.81003,
1.2098,0.74441,-0.68155,0.82541,
1.2098,0.74441,-0.68236,0.81893,
1.2098,0.74441,-0.68236,0.82055,
1.2098,0.74441,-0.68277,0.81813,
1.2098,0.74441,-0.67912,0.81084,
1.2098,0.74441,-0.68196,0.82541,
1.2098,0.74441,-0.68196,0.8246,
1.2098,0.74441,-0.68196,0.82136,
1.2098,0.74441,-0.67993,0.80922,
1.2098,0.74441,-0.68196,0.82379,
1.2098,0.74441,-0.67993,0.80517,
1.2098,0.74441,-0.68034,0.81327,
1.2098,0.74441,-0.67912,0.81246,
1.2098,0.74441,-0.68074,0.81651,
1.2098,0.74441,-0.68074,0.81489,
1.2098,0.74441,-0.68155,0.82784,
1.2098,0.74441,-0.67953,0.80841,
1.2098,0.74441,-0.68155,0.82865,
1.2098,0.74441,-0.67993,0.80598,
1.2098,0.74441,-0.67993,0.80679,
1.2098,0.74441,-0.67953,0.81003,
1.2098,0.74441,-0.68115,0.82217,
1.2098,0.74441,-0.68034,0.81732,
1.2098,0.74441,-0.67912,0.80922,
1.2098,0.74441,-0.68196,0.82298,
1.2098,0.74441,-0.67993,0.8076,
1.2098,0.74441,-0.68196,0.82217,
1.2098,0.74441,-0.67993,0.8076,
1.2098,0.74441,-0.68074,0.81651,
1.2098,0.74441,-0.68115,0.82703,
1.2098,0.74441,-0.68155,0.82703,
1.2098,0.74441,-0.67912,0.81165,
1.2098,0.74441,-0.68236,0.81813,
1.2098,0.74441,-0.67993,0.80598,
1.2098,0.74441,-0.68277,0.81813,
1.2098,0.74441,-0.67993,0.80598,
1.2098,0.74441,-0.67993,0.80679,
1.2098,0.74441,-0.67953,0.81003,
1.2098,0.74441,-0.67953,0.81084,
1.2098,0.74441,-0.68115,0.82622,
1.2098,0.74441,-0.68155,0.83027,
1.2098,0.74441,-0.68196,0.82379,
1.2098,0.74441,-0.68074,0.81813,
1.2098,0.74441,-0.67993,0.80598,
1.2098,0.74441,-0.67872,0.81489,
1.2098,0.74441,-0.68277,0.81732,
1.2098,0.74441,-0.68074,0.82217,
1.2098,0.74441,-0.68236,0.82136,
1.2098,0.74441,-0.67993,0.80679,
1.2098,0.74441,-0.68236,0.81813,
1.2098,0.74441,-0.68196,0.82379,
1.2098,0.74441,-0.68155,0.82379,
1.2098,0.74441,-0.68155,0.82622,
1.2098,0.74441,-0.67993,0.80598,
1.2098,0.74441,-0.68115,0.82136,
1.2098,0.74441,-0.68236,0.82055,
1.2098,0.74441,-0.67872,0.81246,
1.2098,0.74441,-0.67993,0.81084,
1.2098,0.74441,-0.68196,0.82379,
1.2098,0.74441,-0.68155,0.82703,
1.2098,0.74441,-0.68155,0.82784,
1.2098,0.74441,-0.68155,0.82379,
1.2098,0.74441,-0.68034,0.80922,
1.2098,0.74441,-0.68115,0.82703,
1.2098,0.74441,-0.67386,0.81408,
1.2098,0.74441,-0.67589,0.82136,
1.2098,0.74441,-0.67467,0.81651,
1.2098,0.74441,-0.67265,0.81165,
1.2098,0.74441,-0.67305,0.80922,
1.2098,0.74441,-0.67508,0.82703,
1.2098,0.74441,-0.67629,0.82217,
1.2098,0.74441,-0.67427,0.81893,
1.2098,0.74441,-0.67589,0.82298,
1.2098,0.74441,-0.67589,0.8246,
1.2098,0.74441,-0.67386,0.80598,
1.2098,0.74441,-0.67427,0.81003,
1.2098,0.74441,-0.6767,0.81732,
1.2098,0.74441,-0.67427,0.81003,
1.2098,0.74441,-0.67305,0.81003,
1.2098,0.74441,-0.6767,0.81893,
1.2098,0.74441,-0.67467,0.8157,
1.2098,0.74441,-0.67629,0.82055,
1.2098,0.74441,-0.67265,0.81489,
1.2098,0.74441,-0.67467,0.81651,
1.2098,0.74441,-0.67386,0.80598,
1.2098,0.74441,-0.67386,0.80679,
1.2098,0.74441,-0.67467,0.82217,
1.2098,0.74441,-0.6767,0.81893,
1.2098,0.74441,-0.67386,0.81084,
1.2098,0.74441,-0.67629,0.82136,
1.2098,0.74441,-0.67548,0.8246,
1.2098,0.74441,-0.67548,0.82703,
1.2098,0.74441,-0.67346,0.80679,
1.2098,0.74441,-0.67548,0.82784,
1.2098,0.74441,-0.67427,0.80922,
1.2098,0.74441,-0.67346,0.81084,
1.2098,0.74441,-0.67467,0.81651,
1.2098,0.74441,-0.67386,0.81489,
1.2098,0.74441,-0.67305,0.81246,
1.2098,0.74441,-0.67508,0.82784,
1.2098,0.74441,-0.67548,0.82541,
1.2098,0.74441,-0.67346,0.81003,
1.2098,0.74441,-0.67265,0.81327,
1.2098,0.74441,-0.67548,0.82379,
1.2098,0.74441,-0.67629,0.81813,
1.2098,0.74441,-0.67346,0.8157,
1.2098,0.74441,-0.67427,0.81246,
1.2098,0.74441,-0.67346,0.8076,
1.2098,0.74441,-0.67508,0.82784,
1.2098,0.74441,-0.67224,0.8157,
1.2098,0.74441,-0.67548,0.82703,
1.2098,0.74441,-0.67548,0.81732,
1.2098,0.74441,-0.67346,0.81084,
1.2098,0.74441,-0.67265,0.8157,
1.2098,0.74441,-0.67265,0.81165,
1.2098,0.74441,-0.67427,0.8157,
1.2098,0.74441,-0.67427,0.81327,
1.2098,0.74441,-0.67386,0.80841,
1.2098,0.74441,-0.67386,0.80598,
1.2098,0.74441,-0.6771,0.81813,
1.2098,0.74441,-0.67467,0.81165,
1.2098,0.74441,-0.67265,0.81489,
1.2098,0.74441,-0.67427,0.81246,
1.2098,0.74441,-0.67346,0.80841,
1.2098,0.74441,-0.67427,0.80517,
1.2098,0.74441,-0.67589,0.82217,
1.2098,0.74441,-0.67305,0.81003,
1.2098,0.74441,-0.6767,0.81974,
1.2098,0.74441,-0.67346,0.80922,
1.2098,0.74441,-0.67589,0.82541,
1.2098,0.74441,-0.67629,0.81813,
1.2098,0.74441,-0.67386,0.80679,
1.2098,0.74441,-0.67265,0.81408,
1.2098,0.74441,-0.67305,0.81003,
1.2098,0.74441,-0.67467,0.82217,
1.2098,0.74441,-0.67548,0.82622,
1.2098,0.74441,-0.67265,0.81408,
1.2098,0.74441,-0.67589,0.82622,
1.2098,0.74441,-0.67386,0.81651,
1.2098,0.74441,-0.67346,0.80841,
1.2098,0.74441,-0.67467,0.81732,
1.2098,0.74441,-0.6767,0.81893,
1.2098,0.74441,-0.67629,0.81893,
1.2098,0.74441,-0.67305,0.8076,
1.2098,0.74441,-0.67386,0.80922,
1.2098,0.74441,-0.67346,0.80679,
1.2098,0.74441,-0.67346,0.8076,
1.2098,0.74441,-0.67305,0.80922,
1.2098,0.74441,-0.67386,0.80517,
1.2098,0.74441,-0.67305,0.81084,
1.2098,0.74441,-0.67589,0.82541,
1.2098,0.74441,-0.67589,0.82298,
1.2098,0.74441,-0.67548,0.82703,
1.2098,0.74441,-0.67427,0.81084,
1.2098,0.74441,-0.67508,0.82946,
1.2098,0.74441,-0.67791,0.80598,
1.2098,0.74441,-0.67872,0.81246,
1.2098,0.74441,-0.68236,0.82055,
1.2098,0.74441,-0.67912,0.81246,
1.2098,0.74441,-0.68236,0.82055,
1.2098,0.74441,-0.67993,0.80517,
1.2098,0.74441,-0.68115,0.82946,
1.2098,0.74441,-0.68115,0.82055,
1.2098,0.74441,-0.67872,0.81408,
1.2098,0.74441,-0.67993,0.80598,
1.2098,0.74441,-0.68155,0.82865,
1.2098,0.74441,-0.67912,0.81246,
1.2098,0.74441,-0.68155,0.82622,
1.2098,0.74441,-0.68155,0.82541,
1.2098,0.74441,-0.67953,0.81003,
1.2098,0.74441,-0.67912,0.81327,
1.2098,0.74441,-0.68155,0.81732,
1.2098,0.74441,-0.67872,0.81327,
1.2098,0.74441,-0.68115,0.82784,
1.2098,0.74441,-0.68115,0.82622,
1.2098,0.74441,-0.68155,0.82541,
1.2098,0.74441,-0.67912,0.80922,
1.2098,0.74441,-0.67953,0.80679,
1.2098,0.74441,-0.68236,0.81893,
1.2098,0.74441,-0.68074,0.82217,
1.2098,0.74441,-0.68034,0.81246,
1.2098,0.74441,-0.68074,0.81893,
1.3527,0.74441,-0.67872,0.8157,
1.3527,0.74441,-0.68074,0.81003,
1.3527,0.74441,-0.68236,0.82217,
1.3527,0.74441,-0.68155,0.82703,
1.3527,0.74441,-0.68074,0.82946,
1.3527,0.74441,-0.68196,0.82217,
1.3527,0.74441,-0.67872,0.81489,
1.3527,0.74441,-0.67993,0.80679,
1.3527,0.74441,-0.67953,0.81165,
1.3527,0.74441,-0.68196,0.82379,
1.3527,0.74441,-0.68074,0.81408,
1.3527,0.74441,-0.68074,0.81651,
1.3527,0.74441,-0.67953,0.81003,
1.3527,0.74441,-0.68155,0.8246,
1.3527,0.74441,-0.67872,0.81489,
1.3527,0.74441,-0.67872,0.8157,
1.3527,0.74441,-0.68115,0.82865,
1.3527,0.74441,-0.67872,0.81489,
1.3527,0.74441,-0.67953,0.8076,
1.3527,0.74441,-0.68236,0.81732,
1.3527,0.74441,-0.68115,0.82865,
1.3527,0.74441,-0.6767,0.82379,
1.3527,0.74441,-0.67427,0.81651,
1.3527,0.74441,-0.67548,0.82541,
1.3527,0.74441,-0.6767,0.81732,
1.3527,0.74441,-0.67508,0.82379,
1.3527,0.74441,-0.67467,0.82136,
1.3527,0.74441,-0.67589,0.82217,
1.3527,0.74441,-0.66819,0.80841,
1.3527,0.74441,-0.66658,0.81489,
1.3527,0.74441,-0.66779,0.80679,
1.3527,0.74441,-0.66658,0.81327,
1.3527,0.74441,-0.669,0.82865,
1.3527,0.74441,-0.66374,0.81732,
1.3527,0.74441,-0.66131,0.80922,
1.3527,0.74441,-0.66212,0.81732,
1.3527,0.74441,-0.66172,0.8157,
1.3527,0.74441,-0.66253,0.82946,
1.3527,0.74441,-0.65484,0.81489,
1.3527,0.74441,-0.65605,0.81651,
1.3527,0.74441,-0.65727,0.81651,
1.3527,0.74441,-0.65767,0.82541,
1.3527,0.74441,-0.65646,0.81732,
1.3527,0.74441,-0.64957,0.8076,
1.3527,0.74441,-0.64755,0.81489,
1.3527,0.74441,-0.6516,0.82379,
1.3527,0.74441,-0.63864,0.82055,
1.3527,0.74441,-0.64067,0.81974,
1.3527,0.74441,-0.63784,0.81489,
1.3527,0.74441,-0.63864,0.82541,
1.3527,0.74441,-0.63136,0.80841,
1.3527,0.74441,-0.63095,0.80517,
1.3527,0.74441,-0.63217,0.82136,
1.3527,0.74441,-0.62852,0.81813,
1.3527,0.74441,-0.62529,0.81003,
1.3527,0.74441,-0.62731,0.82541,
1.3527,0.74441,-0.62205,0.82865,
1.3527,0.74441,-0.62286,0.81893,
1.3527,0.74441,-0.61719,0.81489,
1.3527,0.74441,-0.61638,0.82055,
1.3527,0.74441,-0.61598,0.82298,
1.3527,0.74441,-0.61233,0.82136,
1.3527,0.74441,-0.60869,0.82703,
1.3527,0.74441,-0.60626,0.80679,
1.3527,0.74441,-0.61112,0.81732,
1.3527,0.74441,-0.60343,0.82217,
1.3527,0.74441,-0.59857,0.81327,
1.3527,0.74441,-0.59736,0.82703,
1.3527,0.74441,-0.59897,0.81813,
1.3527,0.74441,-0.59128,0.80517,
1.3527,0.74441,-0.58643,0.80922,
1.3527,0.74441,-0.58521,0.82703,
1.3527,0.74441,-0.57995,0.81165,
1.3527,0.74441,-0.58157,0.80517,
1.3527,0.74441,-0.57995,0.82379,
1.3527,0.74441,-0.57509,0.80841,
1.3527,0.74441,-0.56821,0.81165,
1.3527,0.74441,-0.56781,0.81246,
1.3527,0.74441,-0.57226,0.82865,
1.3527,0.74441,-0.56335,0.80922,
1.3527,0.74441,-0.56376,0.8076,
1.3527,0.74441,-0.56376,0.80517,
1.3527,0.74441,-0.55647,0.80922,
1.3527,0.74441,-0.55849,0.8157,
1.3527,0.74441,-0.55445,0.82865,
1.3527,0.74441,-0.55607,0.82136,
1.3527,0.74441,-0.55323,0.82379,
1.3527,0.74441,-0.55242,0.82217,
1.3527,0.74441,-0.54716,0.82217,
1.3527,0.74441,-0.53866,0.81327,
1.3527,0.74441,-0.53745,0.80841,
1.3527,0.74441,-0.53785,0.8076,
1.3527,0.74441,-0.52611,0.81408,
1.3527,0.74441,-0.53178,0.82217,
1.3527,0.74441,-0.5253,0.82622,
1.3527,0.74441,-0.51842,0.81084,
1.3527,0.74441,-0.52085,0.80679,
1.3527,0.74441,-0.51599,0.81084,
1.3527,0.74441,-0.51721,0.82703,
1.3527,0.74441,-0.51235,0.81489,
1.3527,0.74441,-0.51073,0.82298,
1.3527,0.74441,-0.51032,0.8246,
1.3527,0.74441,-0.50223,0.81084,
1.3527,0.74441,-0.50304,0.81003,
1.3527,0.74441,-0.50061,0.81003,
1.3527,0.74441,-0.49939,0.82946,
1.3527,0.74441,-0.49899,0.82946,
1.3527,0.74441,-0.49575,0.82622,
1.3527,0.74441,-0.4917,0.81974,
1.3527,0.74441,-0.49211,0.82217,
1.3527,0.74441,-0.4917,0.81813,
1.3527,0.74441,-0.48644,0.8246,
1.3527,0.74441,-0.48118,0.8246,
1.3527,0.74441,-0.4828,0.81651,
1.3527,0.74441,-0.4832,0.82379,
1.3527,0.74441,-0.47308,0.81003,
1.3527,0.74441,-0.47713,0.82298,
1.3527,0.74441,-0.46782,0.81813,
1.3527,0.74441,-0.46377,0.80841,
1.3527,0.74441,-0.47268,0.81893,
1.3527,0.74441,-0.46822,0.82055,
1.3527,0.74441,-0.46661,0.81893,
1.3527,0.74441,-0.46175,0.82379,
1.3527,0.74441,-0.45932,0.82379,
1.3527,0.74441,-0.45446,0.8157,
1.3527,0.74441,-0.46053,0.81893,
1.3527,0.74441,-0.44718,0.80598,
1.3527,0.74441,-0.44758,0.80922,
1.3527,0.74441,-0.45203,0.82703,
1.3527,0.74441,-0.45406,0.82055,
1.3527,0.74441,-0.44232,0.81732,
1.3527,0.74441,-0.44515,0.82622,
1.3527,0.74441,-0.43665,0.81165,
1.3527,0.74441,-0.43948,0.82703,
1.3527,0.74441,-0.43867,0.82784,
1.3527,0.74441,-0.43665,0.81893,
1.3527,0.74441,-0.43706,0.81327,
1.3527,0.74441,-0.42815,0.80517,
1.3527,0.74441,-0.43503,0.82217,
1.3527,0.74441,-0.41924,0.81408,
1.3527,0.74441,-0.4241,0.81893,
1.3527,0.74441,-0.41601,0.80436,
1.3527,0.74441,-0.4156,0.80598,
1.3527,0.74441,-0.41398,0.82298,
1.3527,0.74441,-0.41439,0.82865,
1.3527,0.74441,-0.40912,0.80517,
1.3527,0.74441,-0.40872,0.81489,
1.3527,0.74441,-0.40346,0.80598,
1.3527,0.74441,-0.40305,0.81084,
1.3527,0.74441,-0.40912,0.82703,
1.3527,0.74441,-0.40508,0.81246,
1.3527,0.74441,-0.40184,0.80922,
1.3527,0.74441,-0.39941,0.81246,
1.3527,0.74441,-0.39981,0.81327,
1.3527,0.74441,-0.40346,0.8157,
1.3527,0.74441,-0.39577,0.80922,
1.3527,0.74441,-0.40184,0.8157,
1.3527,0.74441,-0.39293,0.80517,
1.3527,0.74441,-0.39334,0.81651,
1.3527,0.74441,-0.39819,0.82379,
1.3527,0.74441,-0.38969,0.80841,
1.3527,0.74441,-0.3905,0.80679,
1.3527,0.74441,-0.39496,0.82379,
1.3527,0.74441,-0.38565,0.80922,
1.3527,0.74441,-0.38807,0.82217,
1.3527,0.74441,-0.38484,0.81084,
1.3527,0.74441,-0.39212,0.82379,
1.3527,0.74441,-0.3905,0.82703,
1.3527,0.74441,-0.38969,0.82865,
1.3527,0.74441,-0.38565,0.80922,
1.3527,0.74441,-0.38443,0.82784,
1.3527,0.74441,-0.38605,0.8157,
1.3527,0.74441,-0.382,0.82298,
1.3527,0.74441,-0.3816,0.81327,
1.3527,0.74441,-0.3816,0.81327,
1.3527,0.74441,-0.37998,0.81165,
1.3527,0.74441,-0.38281,0.81408,
1.3527,0.74441,-0.3816,0.81246,
1.3527,0.74441,-0.37836,0.80517,
1.3527,0.74441,-0.37876,0.80598,
1.3527,0.74441,-0.38605,0.82298,
1.3527,0.74441,-0.37836,0.80517,
1.3527,0.74441,-0.37715,0.80841,
1.3527,0.74441,-0.37957,0.80841,
1.3527,0.74441,-0.38322,0.82784,
1.3527,0.74441,-0.382,0.81893,
1.3527,0.74441,-0.37431,0.81165,
1.3527,0.74441,-0.37431,0.81165,
1.3527,0.74441,-0.37188,0.80679,
1.3527,0.74441,-0.3816,0.81651,
1.3527,0.74441,-0.37917,0.82541,
1.3527,0.74441,-0.37107,0.8076,
1.3527,0.74441,-0.37391,0.81165,
1.3527,0.74441,-0.37229,0.80598,
1.3527,0.74441,-0.37674,0.83027,
1.3527,0.74441,-0.3816,0.81732,
1.3527,0.74441,-0.37512,0.81813,
1.3527,0.74441,-0.37269,0.80517,
1.3527,0.74441,-0.37634,0.81327,
1.3527,0.74441,-0.37472,0.81489,
1.3527,0.74441,-0.38241,0.81732,
1.3527,0.74441,-0.37836,0.82703,
1.3527,0.74441,-0.37634,0.82622,
1.3527,0.74441,-0.37188,0.80598,
1.3527,0.74441,-0.37148,0.8076,
1.3527,0.74441,-0.37593,0.82541,
1.3527,0.74441,-0.38241,0.81893,
1.3527,0.74441,-0.38281,0.81327,
1.3527,0.74441,-0.38848,0.81813,
1.3527,0.74441,-0.38362,0.82865,
1.3527,0.74441,-0.37715,0.80841,
1.3527,0.74441,-0.38281,0.81327,
1.3527,0.74441,-0.38565,0.82541,
1.3527,0.74441,-0.38241,0.81408,
1.3527,0.74441,-0.38403,0.81489,
1.3527,0.74441,-0.38727,0.82784,
1.3527,0.74441,-0.3905,0.81489,
1.3527,0.74441,-0.38727,0.81246,
1.3527,0.74441,-0.39415,0.81893,
1.3527,0.74441,-0.38727,0.8157,
1.3527,0.74441,-0.39091,0.81408,
1.3527,0.74441,-0.38362,0.81003,
1.3527,0.74441,-0.39131,0.8246,
1.3527,0.74441,-0.38969,0.82379,
1.3527,0.74441,-0.39941,0.81974,
1.3527,0.74441,-0.399,0.82136,
1.3527,0.74441,-0.39131,0.80598,
1.3527,0.74441,-0.39293,0.81489,
1.3527,0.74441,-0.39496,0.81327,
1.3527,0.74441,-0.38929,0.81003,
1.3527,0.74441,-0.39658,0.80679,
1.3527,0.74441,-0.40103,0.80922,
1.3527,0.74441,-0.40224,0.80841,
1.3527,0.74441,-0.41115,0.82136,
1.3527,0.74441,-0.41155,0.82055,
1.3527,0.74441,-0.4075,0.82946,
1.3527,0.74441,-0.40427,0.81165,
1.3527,0.74441,-0.41034,0.82379,
1.3527,0.74441,-0.40993,0.80679,
1.3527,0.74441,-0.40912,0.80598,
1.3527,0.74441,-0.41641,0.82298,
1.3527,0.74441,-0.41074,0.81246,
1.3527,0.74441,-0.41722,0.82136,
1.3527,0.74441,-0.41034,0.81165,
1.3527,0.74441,-0.41803,0.81651,
1.3527,0.74441,-0.41722,0.81084,
1.3527,0.74441,-0.41601,0.80841,
1.3527,0.74441,-0.41479,0.81003,
1.3527,0.74441,-0.42329,0.82136,
1.3527,0.74441,-0.42734,0.82379,
1.3527,0.74441,-0.43098,0.81732,
1.3527,0.74441,-0.42653,0.81489,
1.3527,0.74441,-0.42451,0.82217,
1.3527,0.74441,-0.43017,0.81974,
1.3527,0.74441,-0.42896,0.81003,
1.3527,0.74441,-0.43584,0.81974,
1.3527,0.74441,-0.42896,0.81003,
1.3527,0.74441,-0.43908,0.8157,
1.3527,0.74441,-0.43382,0.80598,
1.3527,0.74441,-0.43382,0.80598,
1.3527,0.74441,-0.4326,0.81003,
1.3527,0.74441,-0.43989,0.8246,
1.3527,0.74441,-0.4411,0.81489,
1.3527,0.74441,-0.43948,0.80841,
1.3527,0.74441,-0.44798,0.81813,
1.3527,0.74441,-0.44718,0.82298,
1.3527,0.74441,-0.44191,0.81813,
1.3527,0.74441,-0.45325,0.82217,
1.3527,0.74441,-0.45446,0.81893,
1.3527,0.74441,-0.45203,0.8157,
1.3527,0.74441,-0.45244,0.82379,
1.3527,0.74441,-0.45203,0.81651,
1.3527,0.74441,-0.44434,0.81003,
1.3527,0.74441,-0.4577,0.81651,
1.3527,0.74441,-0.45284,0.80517,
1.3527,0.74441,-0.45406,0.81246,
1.3527,0.74441,-0.4573,0.82784,
1.3527,0.74441,-0.45851,0.80679,
1.3527,0.74441,-0.46701,0.81732,
1.3527,0.74441,-0.46418,0.81408,
1.3527,0.74441,-0.46822,0.82865,
1.3527,0.74441,-0.47065,0.82379,
1.3527,0.74441,-0.46822,0.82946,
1.3527,0.74441,-0.46742,0.8246,
1.3527,0.74441,-0.46539,0.80679,
1.3527,0.74441,-0.46944,0.81084,
1.3527,0.74441,-0.47308,0.81893,
1.3527,0.74441,-0.46944,0.81003,
1.3527,0.74441,-0.47713,0.82217,
1.3527,0.74441,-0.47915,0.81813,
1.3527,0.74441,-0.48037,0.82703,
1.3527,0.74441,-0.47996,0.81408,
1.3527,0.74441,-0.47875,0.81408,
1.3527,0.74441,-0.47713,0.81327,
1.3527,0.74441,-0.47754,0.80436,
1.3527,0.74441,-0.48442,0.81732,
1.3527,0.74441,-0.47632,0.8076,
1.3527,0.74441,-0.48887,0.82379,
1.3527,0.74441,-0.48239,0.80841,
1.3527,0.74441,-0.48118,0.81084,
1.3527,0.74441,-0.48401,0.80679,
1.3527,0.74441,-0.48239,0.80841,
1.3527,0.74441,-0.49656,0.81893,
1.3527,0.74441,-0.49454,0.82541,
1.3527,0.74441,-0.49211,0.81489,
1.3527,0.74441,-0.49494,0.8246,
1.3527,0.74441,-0.48968,0.80517,
1.3527,0.74441,-0.49656,0.81974,
1.3527,0.74441,-0.49373,0.81084,
1.3527,0.74441,-0.50061,0.81651,
1.3527,0.74441,-0.50061,0.8246,
1.3527,0.74441,-0.50182,0.82136,
1.3527,0.74441,-0.5002,0.82541,
1.3527,0.74441,-0.49535,0.81246,
1.3527,0.74441,-0.50061,0.81651,
1.3527,0.74441,-0.50466,0.82865,
1.3527,0.74441,-0.50547,0.8157,
1.3527,0.74441,-0.5087,0.81651,
1.3527,0.74441,-0.5087,0.81813,
1.3527,0.74441,-0.50263,0.81003,
1.3527,0.74441,-0.50101,0.80841,
1.3527,0.74441,-0.50344,0.81408,
1.3527,0.74441,-0.5002,0.81246,
1.3527,0.74441,-0.50182,0.80598,
1.3527,0.74441,-0.5087,0.80841,
1.3527,0.74441,-0.51397,0.82217,
1.3527,0.74441,-0.51316,0.8246,
1.3527,0.74441,-0.50749,0.80679,
1.3527,0.74441,-0.50668,0.80922,
1.3527,0.74441,-0.50749,0.80922,
1.3527,0.74441,-0.51275,0.82541,
1.3527,0.74441,-0.50911,0.81246,
1.3527,0.74441,-0.51761,0.8246,
1.3527,0.74441,-0.5164,0.82217,
1.3527,0.74441,-0.52004,0.82055,
1.3527,0.74441,-0.51235,0.81165,
1.3527,0.74441,-0.51761,0.82784,
1.3527,0.74441,-0.51963,0.82217,
1.3527,0.74441,-0.51761,0.82865,
1.3527,0.74441,-0.51801,0.82865,
1.3527,0.74441,-0.51478,0.81165,
1.3527,0.74441,-0.51437,0.80679,
1.3527,0.74441,-0.51518,0.81165,
1.3527,0.74441,-0.51923,0.82298,
1.3527,0.74441,-0.51842,0.8246,
1.3527,0.74441,-0.51397,0.80598,
1.3527,0.74441,-0.51235,0.81084,
1.3527,0.74441,-0.51882,0.8246,
1.3527,0.74441,-0.51923,0.81651,
1.3527,0.74441,-0.51397,0.80598,
1.3527,0.74441,-0.51518,0.81165,
1.3527,0.74441,-0.51316,0.80841,
1.3527,0.74441,-0.51842,0.81893,
1.3527,0.74441,-0.52085,0.81327,
1.3527,0.74441,-0.52368,0.82865,
1.3527,0.74441,-0.52409,0.82622,
1.3527,0.74441,-0.52166,0.81651,
1.3527,0.74441,-0.52449,0.82622,
